iter	Passed	Remaining
696	3825	1663
697	3828	1656
698	3830	1649
699	3835	1643
700	3839	1637
701	3842	1631
702	3845	1624
703	3847	1617
704	3849	1610
705	3852	1604
706	3855	1597
707	3857	1591
708	3860	1584
709	3863	1577
710	3865	1571
711	3868	1564
712	3871	1558
713	3873	1551
714	3876	1545
715	3879	1538
716	3882	1532
717	3884	1525
718	3887	1519
719	3890	1512
720	3892	1506
721	3895	1499
722	3898	1493
723	3901	1487
724	3904	1480
725	3907	1474
726	3910	1468
727	3913	1462
728	3915	1455
729	3918	1449
730	3921	1442
731	3923	1436
732	3926	1430
733	3929	1423
734	3932	1417
735	3934	1411
736	3937	1405
737	3940	1398
738	3943	1392
739	3946	1386
740	3948	1380
741	3951	1374
742	3955	1368
743	3963	1363
744	3967	1357
745	3971	1352
746	3974	1346
747	3978	1340
748	3981	1334
749	3988	1329
750	3996	1324
751	4001	1319
752	4007	1314
753	4015	1310
754	4022	1305
755	4033	1301
756	4037	1295
757	4044	1291
758	4053	1286
759	4056	1281
760	4064	1276
761	4073	1272
762	4080	1267
763	4089	1263
764	4094	1257
765	4102	1253
766	4110	1248
767	4114	1242
768	4121	1238
769	4130	1233
770	4137	1228
771	4141	1223
772	4150	1218
773	4155	1213
774	4163	1208
775	4167	1203
776	4178	1199
777	4184	1194
778	4188	1188
779	4196	1183
780	4203	1178
781	4211	1174
782	4218	1169
783	4224	1163
784	4232	1159
785	4240	1154
786	4244	1148
787	4252	1144
788	4260	1139
789	4266	1134
790	4274	1129
791	4282	1124
792	4286	1119
793	4295	1114
794	4301	1109
795	4309	1104
796	4316	1099
797	4320	1093
798	4329	1089
799	4332	1083
800	4340	1078
801	4348	1073
802	4355	1068
803	4361	1063
804	4370	1058
805	4375	1053
806	4383	1048
807	4386	1042
808	4394	1037
809	4403	1032
810	4409	1027
811	4417	1022
812	4425	1017
813	4430	1012
814	4437	1007
815	4445	1002
816	4449	996
817	4457	991
818	4466	987
819	4472	981
820	4480	976
821	4485	971
822	4489	965
823	4494	959
824	4498	954
825	4502	948
826	4506	942
827	4509	936
828	4513	931
829	4518	925
830	4521	919
831	4526	913
832	4530	908
833	4533	902
834	4537	896
835	4541	890
836	4544	884
837	4548	879
838	4552	873
839	4555	867
840	4558	861
841	4561	855
842	4565	850
843	4569	844
844	4576	839
845	4579	833
846	4583	827
847	4586	822
848	4589	816
849	4592	810
850	4595	804
851	4598	798
852	4601	793
853	4606	787
854	4609	781
855	4612	776
856	4616	770
857	4624	765
858	4632	760
859	4640	755
860	4643	749
861	4652	744
862	4660	739
863	4667	734
864	4671	729
865	4680	724
866	4686	718
867	4692	713
868	4700	708
869	4708	703
870	4712	697
871	4720	692
872	4728	687
873	4736	682
874	4742	677
875	4750	672
876	4757	667
877	4762	661
878	4766	656
879	4771	650
880	4775	645
881	4780	639
882	4787	634
883	4795	629
884	4800	623
885	4806	618
886	4809	612
887	4814	607
888	4818	601
889	4823	596
890	4826	590
891	4834	585
892	4838	579
893	4841	574
894	4843	568
895	4846	562
896	4850	556
897	4854	551
898	4858	545
899	4863	540
900	4874	535
901	4879	530
902	4887	524
903	4895	519
904	4901	514
905	4906	509
906	4912	503
907	4920	498
908	4925	493
909	4933	487
910	4938	482
911	4941	476
912	4949	471
913	4953	466
914	4963	461
915	4968	455
916	4974	450
917	4982	445
918	4986	439
919	4995	434
920	5003	429
921	5014	424
922	5022	418
923	5028	413
924	5035	408
925	5041	402
926	5048	397
927	5058	392
928	5064	387
929	5071	381
930	5078	376
931	5085	371
932	5093	365
933	5100	360
934	5105	354
935	5112	349
936	5120	344
937	5129	339
938	5135	333
939	5143	328
940	5147	322
941	5157	317
942	5166	312
943	5173	306
944	5182	301
945	5187	296
946	5191	290
947	5198	285
948	5207	279
949	5215	274
950	5224	269
951	5229	263
952	5232	258
953	5236	252
954	5239	246
955	5243	241
956	5246	235
957	5248	230
958	5250	224
959	5253	218
960	5255	213
961	5257	207
962	5259	202
963	5261	196
964	5264	190
965	5266	185
966	5268	179
967	5270	174
968	5273	168
969	5275	163
970	5278	157
971	5280	152
972	5282	146
973	5285	141
974	5287	135
975	5290	130
976	5292	124
977	5294	119
978	5296	113
979	5298	108
980	5301	102
981	5303	97
982	5305	91
983	5307	86
984	5310	80
985	5312	75
986	5315	70
987	5317	64
988	5320	59
989	5322	53
990	5325	48
991	5327	42
992	5329	37
993	5331	32
994	5334	26
995	5336	21
996	5338	16
997	5341	10
998	5343	5
999	5346	0
